TRADEDATE,Open,High,Low,Close,Volume,SMA,EMA,MACD,signal,histogram,RSI,UpperBand,LowerBand,ADX,StochasticOscillator,SmoothedStochastic
2013-03-25,0.05181,0.05194,0.05038,0.05043,35450700000,,0.05043,0.0,0.0,0.0,,,,,,
2013-03-26,0.05069,0.0525,0.04865,0.0494,5608020000,,0.050224000000000005,-8.216524216524135e-05,-1.643304843304827e-05,-6.573219373219308e-05,,,,,,
2013-03-27,0.04946,0.04987,0.04766,0.04821,4061610000,,0.04982120000000001,-0.00024053213853783562,-6.125286645400574e-05,-0.00017927927208382987,,,,,,
2013-03-28,0.0477,0.04988,0.0477,0.04979,4234170000,,0.04981496000000001,-0.00023582777371821545,-9.616784790684768e-05,-0.00013965992581136777,,,,,,
2013-03-29,0.05,0.05,0.04954,0.04987,1211060000,,0.04982596800000001,-0.00022307275542684385,-0.00012154882941084692,-0.00010152392601599693,,,,,,
2013-04-01,0.04945,0.0503,0.04918,0.04924,2362870000,,0.049708774400000016,-0.00026079377807119303,-0.00014939781914291616,-0.00011139595892827687,,,,,,
2013-04-02,0.04955,0.04984,0.04901,0.04915,3744050000,,0.049597019520000014,-0.0002945547641535623,-0.00017842920814504538,-0.00011612555600851691,,,,,,
2013-04-03,0.04893,0.05202,0.04825,0.04825,7520910000,,0.04932761561600001,-0.0003894438015211929,-0.00022063212682027491,-0.00016881167470091799,,,,,,
2013-04-04,0.0481,0.049,0.04726,0.04726,6351970000,0.04906666666666667,0.048914092492800015,-0.0005383233173901769,-0.0002841703649342553,-0.0002541529524559216,,,,,0.0,
2013-04-05,0.04761,0.04781,0.04511,0.04693,12474640000,0.048677777777777785,0.048517273994240016,-0.0006751568603941896,-0.0003623676640262422,-0.0003127891963679474,,,,,24.627875507442518,
2013-04-08,0.04687,0.04842,0.0466,0.04755,10759550000,0.04847222222222222,0.04832381919539201,-0.0007252098429711903,-0.00043493609981523184,-0.0002902737431559585,,,,,35.31114327062236,19.979672926021625
2013-04-09,0.04834,0.04977,0.04774,0.04921,9585380000,0.04858333333333334,0.04850105535631362,-0.0006237389906543558,-0.00047269667798305673,-0.0001510423126712991,,,,,59.33429811866859,39.757772298911156
2013-04-10,0.04905,0.0497,0.04787,0.04813,7662430000,0.04839888888888889,0.0484268442850509,-0.0006232847446436818,-0.0005028142913151818,-0.00012047045332849997,,,,,43.70477568740958,46.11673902556684
2013-04-11,0.0484,0.04848,0.04737,0.04792,14207590000,0.04818222222222222,0.04832547542804073,-0.0006325780305937931,-0.0005287670391709041,-0.00010381099142288896,,,,,40.66570188133141,47.90159189580319
2013-04-12,0.04774,0.04796,0.04658,0.04696,8458320000,0.04792888888888889,0.04805238034243259,-0.000709231425220308,-0.000564859916380785,-0.00014437150883952305,34.71365638766518,,,,26.77279305354565,37.04775687409555
2013-04-15,0.04682,0.04684,0.0454,0.04565,10690060000,0.04754,0.04757190427394607,-0.0008657065187285956,-0.0006250292368503471,-0.0002406772818782485,33.877901977644015,,,,7.8147612156296065,25.084418716835557
2013-04-16,0.0453,0.04676,0.0452,0.04536,12693450000,0.04721888888888889,0.047129523419156855,-0.0010015692669903264,-0.000700337242878343,-0.0003012320241119835,36.71947809878841,,,,5.364806866952789,13.317453712042683
2013-04-17,0.04582,0.04584,0.04359,0.04389,12995680000,0.046844444444444445,0.04648161873532549,-0.0012138655026143058,-0.0008030428948255355,-0.0004108226077887703,22.222222222222186,,,23.2385745521254,4.854368932038858,6.011312338207084
2013-04-18,0.04382,0.04484,0.04341,0.04352,12514510000,0.04646555555555556,0.045889294988260394,-0.001395876906563398,-0.000921609697173108,-0.00047426720939029005,20.898258478460136,,,23.28023216278973,1.729559748427765,3.982911849139804
2013-04-19,0.04428,0.04428,0.04309,0.0438,13613260000,0.04604888888888889,0.04547143599060832,-0.0015002348224031417,-0.0010373347222191148,-0.0004629001001840269,24.242424242424207,0.051746194058895495,0.0433058059411045,26.66816105597508,10.628742514969993,5.737557065145538
2013-04-22,0.04417,0.0452,0.04404,0.04431,14751940000,0.045504444444444445,0.04523914879248666,-0.001524216268461026,-0.001134711031467497,-0.00038950523699352903,27.959927140255004,0.051441109856548706,0.04299889014345129,34.01968802153715,18.456883509833574,10.271728591077109
2013-04-23,0.0445,0.04588,0.04433,0.04588,12436780000,0.04525444444444445,0.04536731903398933,-0.0014003929994925654,-0.0011878474250725107,-0.00021254557442005467,39.82832618025748,0.05117496344057515,0.042913036559424855,39.39715569043976,51.76252319109451,26.949383071966025
2013-04-24,0.04566,0.04733,0.04537,0.0456,16377820000,0.044996666666666664,0.04541385522719147,-0.001309757754580046,-0.001212229490974018,-9.7528263606028e-05,42.413162705667254,0.051054261562296185,0.04277273843770382,40.680588912325646,51.54004106776178,40.58648258956328
2013-04-25,0.04655,0.04655,0.0439,0.0451,21925760000,0.04479,0.045351084181753175,-0.0012637072606505248,-0.0012225250449093192,-4.118221574120557e-05,41.764176417641764,0.050662063618557164,0.04269593638144283,41.903154272876414,47.40566037735851,50.236074878738265
2013-04-26,0.0451,0.04579,0.04435,0.04546,29042980000,0.044768888888888886,0.045372867345402544,-0.0011845086427780954,-0.0012149217644830746,3.041312170497918e-05,40.368663594470014,0.050177267622691556,0.042739732377308444,40.73318236514238,55.896226415094354,51.61397595340488
2013-04-29,0.0445,0.04746,0.04315,0.04728,73244340000,0.04498222222222223,0.04575429387632204,-0.0009637745844133377,-0.0011646923284691273,0.00020091774405578953,41.23524069028158,0.04986793255927962,0.04285306744072038,35.29785229823335,95.88100686498856,66.3942978858138
2013-04-30,0.047,0.04977,0.04501,0.04974,37018930000,0.04563222222222222,0.04655143510105763,-0.0005836122927097426,-0.0010484763213172504,0.0004648640286075078,56.49717514124295,0.05000450877495277,0.04277549122504723,33.5828995975133,99.55089820359278,83.7760438278919
2013-05-02,0.04943,0.04997,0.04738,0.04886,35483620000,0.046225555555555554,0.047013148080846105,-0.00034931292123017293,-0.0009086436412998348,0.0005593307200696619,53.5987748851455,0.05011059755968592,0.04273040244031407,33.865840694690746,83.86627906976744,93.09939471278294
